Construction Labor;Interest;CPI;Total Economy Productivity
107.2;4;30.6;74.04
108.5;4.125;31;76.63
109.7;4.375;31.5;79.24
112.4;5;32.5;81.68
115.8;5.625;33.4;82.54
121.0;5.625;34.8;85.39
128.3;7.25;36.7;86.09
137.3;6.125;38.8;87.7
146.2;5.875;40.5;91.59
152.2;6;41.8;95.29
157.9;6.625;44.4;96.86
163.3;7.375;49.3;94.2
168.6;7.675;53.8;96.83
174.2;6.5;56.9;99.27
178.2;7.375;60.6;100.13
185.9;8.625;65.2;101.27
194.9;10;72.6;100
204.3;12.125;82.4;97.34
242.4;12.5;90.9;99.08
263.9;10.75;96.5;98.22
267.6;11.5;99.6;101.22
264.5;11.5;103.9;103.66
265.3;9.75;107.6;105.31
263.0;7.375;109.6;107.8
262.6;9;113.6;107.16
265.6;9.125;118.3;108.68
270.4;8;124;109.43
271.4;8.375;130.7;109.81
274.8;7.375;136.2;110.51
273.0;7;140.3;114.82
270.9;5.875;144.5;115.31
272.9;8;148.2;116.37
274.3;6;152.4;116.47
277.5;6.25;156.9;117.94
281.9;6.125;160.5;119.78
287.4;5.125;163;122.25
292.5;6.375;166.6;124.88
299.2;6.8;172.2;126.39
302.3;4.6;177.1;127.91
305.8;3.1;179.9;131.66
309.3;2.1;184;136.02
307.8;1.6;188.9;139.73
305.6;3;195.3;141.84
308.3;4.7;201.6;142.57
315.1;5.2;207.3;1443.6
319.7;3.1;215.3;141.78
326.6;2.6;214.5;146.96
327.8;2;218.1;151.06
325.8;1.1;224.9;149.6
321.3;1.4;229.6;149.95
321.7;1.5;233;151.6
320.4;1.4;236.7;152.12
318.4;2.2;237;154.42
319.6;2.5;240;154.57
323.1;2.2;245.1;155.59
332.3;2.5;251.1;157.21
335.6;3.4;255.7;159.2
332.6;2.3;258.8;161.8
344;0.9;271;164
