Buildings;Interest;CPI;Total Economy Productivity
102.1;4;30.6;74.04
103.3;4.125;31;76.63
104.5;4.375;31.5;79.24
107.9;5;32.5;81.68
110.3;5.625;33.4;82.54
115.7;5.625;34.8;85.39
122.5;7.25;36.7;86.09
127.2;6.125;38.8;87.7
135.5;5.875;40.5;91.59
142.0;6;41.8;95.29
150.9;6.625;44.4;96.86
165.8;7.375;49.3;94.2
177.0;7.675;53.8;96.83
187.3;6.5;56.9;99.27
199.1;7.375;60.6;100.13
213.7;8.625;65.2;101.27
228.4;10;72.6;100
238.3;12.125;82.4;97.34
274.9;12.5;90.9;99.08
290.1;10.75;96.5;98.22
295.6;11.5;99.6;101.22
300.3;11.5;103.9;103.66
304.4;9.75;107.6;105.31
303.9;7.375;109.6;107.8
309.1;9;113.6;107.16
319.2;9.125;118.3;108.68
327.6;8;124;109.43
329.5;8.375;130.7;109.81
332.9;7.375;136.2;110.51
334.6;7;140.3;114.82
341.6;5.875;144.5;115.31
353.8;8;148.2;116.37
362.4;6;152.4;116.47
365.1;6.25;156.9;117.94
371.4;6.125;160.5;119.78
374.2;5.125;163;122.25
380.2;6.375;166.6;124.88
385.6;6.8;172.2;126.39
385.6;4.6;177.1;127.91
390.4;3.1;179.9;131.66
400.6;2.1;184;136.02
428.6;1.6;188.9;139.73
445.1;3;195.3;141.84
468.6;4.7;201.6;142.57
476.8;5.2;207.3;144.36
504.8;3.1;215.3;141.78
485.4;2.6;214.5;146.96
513.9;2;218.1;151.06
517.1;1.1;224.9;149.6
526.8;1.4;229.6;149.95
533.4;1.5;233;151.6
545.3;1.4;236.7;152.12
545.3;2.2;237;154.42
537.7;2.5;240;154.57
552.2;2.2;245.1;155.59
600.8;2.5;251.1;157.21
697.8;3.4;255.7;159.2
591.0;2.3;258.8;161.8
765.3;0.9;271;164
