Engineering & Supervision;Interest;CPI;Total Economy Productivity
103.4;4;30.6;74.04
104.2;4.125;31;76.63
104.8;4.375;31.5;79.24
106.8;5;32.5;81.68
108.6;5.625;33.4;82.54
108.6;5.625;34.8;85.39
109.9;7.25;36.7;86.09
110.6;6.125;38.8;87.7
111.4;5.875;40.5;91.59
111.9;6;41.8;95.29
122.8;6.625;44.4;96.86
134.4;7.375;49.3;94.2
141.8;7.675;53.8;96.83
150.8;6.5;56.9;99.27
162.1;7.375;60.6;100.13
161.9;8.625;65.2;101.27
185.9;10;72.6;100
214.0;12.125;82.4;97.34
268.5;12.5;90.9;99.08
304.9;10.75;96.5;98.22
323.3;11.5;99.6;101.22
336.3;11.5;103.9;103.66
338.9;9.75;107.6;105.31
341.2;7.375;109.6;107.8
346.0;9;113.6;107.16
343.3;9.125;118.3;108.68
344.8;8;124;109.43
355.9;8.375;130.7;109.81
354.5;7.375;136.2;110.51
354.1;7;140.3;114.82
352.3;5.875;144.5;115.31
351.1;8;148.2;116.37
347.6;6;152.4;116.47
344.2;6.25;156.9;117.94
342.5;6.125;160.5;119.78
341.2;5.125;163;122.25
339.9;6.375;166.6;124.88
340.6;6.8;172.2;126.39
341.5;4.6;177.1;127.91
345.3;3.1;179.9;131.66
347.3;2.1;184;136.02
345.2;1.6;188.9;139.73
346.8;3;195.3;141.84
350.9;4.7;201.6;142.57
357.0;5.2;207.3;144.36
353.7;3.1;215.3;141.78
347.9;2.6;214.5;146.96
339.7;2;218.1;151.06
333.6;1.1;224.9;149.6
326.9;1.4;229.6;149.95
324.6;1.5;233;151.6
320.3;1.4;236.7;152.12
319.6;2.2;237;154.42
316.6;2.5;240;154.57
315.0;2.2;245.1;155.59
307.3;2.5;251.1;157.21
316.4;3.4;255.7;159.2
313.0;2.3;258.8;161.8
310.5;0.9;271;164
