Composite CE Index;Interest;CPI;Total Economy Productivity
102.4;4;30.6;74.04
103.3;4.125;31;76.63
104.2;4.375;31.5;79.24
107.2;5;32.5;81.68
109.7;5.625;33.4;82.54
113.7;5.625;34.8;85.39
119.0;7.25;36.7;86.09
125.7;6.125;38.8;87.7
132.3;5.875;40.5;91.59
137.2;6;41.8;95.29
144.1;6.625;44.4;96.86
165.4;7.375;49.3;94.2
182.4;7.675;53.8;96.83
192.1;6.5;56.9;99.27
204.1;7.375;60.6;100.13
218.8;8.625;65.2;101.27
238.7;10;72.6;100
261.2;12.125;82.4;97.34
297.0;12.5;90.9;99.08
314.0;10.75;96.5;98.22
317.0;11.5;99.6;101.22
322.7;11.5;103.9;103.66
325.3;9.75;107.6;105.31
318.4;7.375;109.6;107.8
323.8;9;113.6;107.16
342.5;9.125;118.3;108.68
355.4;8;124;109.43
357.6;8.375;130.7;109.81
361.3;7.375;136.2;110.51
358.2;7;140.3;114.82
359.2;5.875;144.5;115.31
368.1;8;148.2;116.37
381.1;6;152.4;116.47
381.7;6.25;156.9;117.94
386.5;6.125;160.5;119.78
389.5;5.125;163;122.25
390.6;6.375;166.6;124.88
394.1;6.8;172.2;126.39
394.3;4.6;177.1;127.91
395.6;3.1;179.9;131.66
402.0;2.1;184;136.02
444.2;1.6;188.9;139.73
468.2;3;195.3;141.84
499.6;4.7;201.6;142.57
525.4;5.2;207.3;144.36
575.4;3.1;215.3;141.78
521.9;2.6;214.5;146.96
550.8;2;218.1;151.06
585.7;1.1;224.9;149.6
584.6;1.4;229.6;149.95
567.3;1.5;233;151.6
576.1;1.4;236.7;152.12
556.8;2.2;237;154.42
541.7;2.5;240;154.57
567.5;2.2;245.1;155.59
603.1;2.5;251.1;157.21
607.5;3.4;255.7;159.2
596.2;2.3;258.8;161.8
776.3;0.9;271;164
