Equipment;Interest;Oil;CPI;Gold;Inflation;Steel Iron Index
100,5;4;2,89;30,6;35,09;1,32;39,417
101,2;4,125;2,88;31;35,1;1,31;46,983
102,1;4,375;2,86;31,5;35,12;1,61;48,342
105,3;5;2,88;32,5;35,13;2,86;45,767
107,7;5,625;2,92;33,4;34,95;3,09;42,950
109,9;5,625;2,94;34,8;39,31;4,19;39,900
116,6;7,25;3,09;36,7;41,28;5,46;47,525
123,8;6,125;3,18;38,8;36,02;5,72;59,558
130,4;5,875;3,39;40,5;40,62;4,38;49,133
135,4;6;3,39;41,8;58,42;3,21;52,283
141,8;6,625;3,89;44,4;97,39;6,22;80,733
171,2;7,375;6,87;49,3;154;11,04;151,642
194,7;7,675;7,67;53,8;160,86;9,13;105,442
205,8;6,5;8,19;56,9;124,74;5,76;111,158
220,9;7,375;8,57;60,6;147,84;6,5;99,233
240,3;8,625;9;65,2;193,4;7,59;113,617
264,7;10;12,64;72,6;306;11,35;146,800
292,6;12,125;21,59;82,4;615;13,5;140,858
323,9;12,5;31,77;90,9;460;10,32;140,550
336,2;10,75;28,52;96,5;376;6,16;99,992
336,0;11,5;26,19;99,6;424;3,21;107,367
344,0;11,5;25,88;103,9;361;4,32;123,717
347,2;9,75;24,09;107,6;317;3,56;112,608
336,3;7,375;12,51;109,6;368;1,86;109,625
343,9;9;15,4;113,6;447;3,65;128,408
372,7;9,125;12,58;118,3;437;4,14;177,142
391,0;8;15,86;124;381;4,82;173,717
392,2;8,375;20,03;130,7;383,51;5,4;166,033
396,9;7,375;16,54;136,2;362,11;4,21;147,625
392,2;7;15,99;140,3;343,82;3,01;139,158
391,3;5,875;14,25;144,5;359,77;2,99;172,525
406,9;8;13,19;148,2;384;2,56;192,900
427,3;6;14,62;152,4;383,79;2,83;202,675
427,4;6,25;1846;156,9;387,81;2,95;191,067
433,2;6,125;17,23;160,5;331,02;2,29;188,875
436,0;5,125;10,87;163;294,24;1,56;165,025
435,5;6,375;15,56;166,6;278,98;2,21;139,217
438,0;6,8;26,72;172,2;279,11;3,36;142,142
